V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
27699, 339, -28039, 27700, 338, -28038, -0.039062 
25969, 3503, -29474, 25953, 3503, -29457, -16.695312 
23987, 6634, -30623, 23954, 6634, -30589, -33.269531 
21772, 9701, -31475, 21723, 9701, -31425, -49.751953 
19346, 12674, -32022, 19281, 12673, -31955, -66.251953 
16733, 15523, -32258, 16652, 15523, -32176, -81.919922 
13956, 18223, -32181, 13862, 18221, -32084, -96.894531 
11045, 20744, -31791, 10936, 20743, -31680, -110.287109 
8026, 23066, -31093, 7905, 23064, -30969, -123.173828 
4929, 25162, -30092, 4797, 25160, -29958, -133.656250 
1785, 27014, -28801, 1642, 27013, -28656, -144.925781 
-1378, 28605, -27229, -1527, 28603, -27075, -153.333984 
-4527, 29917, -25392, -4683, 29916, -25232, -159.539062 
-7631, 30940, -23310, -7794, 30938, -23144, -165.658203 
-10662, 31661, -21001, -10828, 31660, -20831, -169.419922 
-13589, 32076, -18489, -13758, 32074, -18316, -172.373047 
-16384, 32179, -15797, -16554, 32178, -15623, -173.116211 
-18340, 31979, -13640, -19189, 31969, -12779, -860.503906 
-21386, 31282, -9898, -22219, 31272, -9052, -845.067383 
-23590, 30382, -6793, -24402, 30372, -5970, -822.912598 
-25566, 29187, -3622, -26348, 29177, -2829, -792.709229 
-27294, 27709, -416, -28038, 27700, 338, -754.962585 
-28757, 25961, 2794, -29457, 25953, 3503, -709.921875 
-29941, 23963, 5976, -30589, 23954, 6634, -658.879883 
-30834, 21730, 9102, -31425, 21723, 9701, -599.438477 
-31428, 19288, 12138, -31955, 19281, 12673, -535.832031 
-31716, 16658, 15057, -32176, 16652, 15523, -466.214844 
-31697, 13866, 17830, -32084, 13862, 18221, -391.910156 
-31370, 10941, 20428, -31680, 10936, 20743, -315.753906 
-30739, 7907, 22830, -30969, 7905, 23064, -234.255859 
-29810, 4799, 25009, -29958, 4797, 25160, -151.892578 
-28591, 1643, 26946, -28656, 1642, 27013, -67.310547 
-27094, -1529, 28621, -27075, -1527, 28603, 17.468750 
-25335, -4685, 30019, -25232, -4683, 29916, 102.875000 
-23330, -7796, 31125, -23144, -7794, 30938, 186.656250 
-20507, -11576, 32082, -20220, -11572, 31792, 289.054688 
-18023, -14476, 32497, -17659, -14470, 32130, 366.996094 
-15364, -17235, 32598, -14925, -17229, 32155, 442.796875 
-12556, -19827, 32382, -12047, -19820, 31868, 513.705078 
-9627, -22227, 31852, -9052, -22219, 31272, 579.929688 
-6602, -24411, 31012, -5970, -24402, 30372, 639.687500 
-3515, -26358, 29871, -2829, -26348, 29177, 693.240234 
-394, -28049, 28441, 338, -28038, 27699, 741.001953 
2732, -29467, 26734, 3503, -29457, 25953, 780.625000 
5830, -30600, 24768, 6634, -30589, 23954, 813.144531 
8874, -31436, 22561, 9701, -31425, 21723, 837.195312 
11829, -31967, 20136, 12673, -31955, 19281, 854.082031 
14670, -32187, 17515, 15523, -32176, 16652, 862.142578 
17370, -32096, 14724, 18221, -32084, 13862, 861.814453 
19900, -31692, 11791, 20743, -31680, 10936, 854.033203 
22237, -30981, 8742, 23064, -30969, 7905, 836.438477 
24359, -29969, 5609, 25160, -29958, 4797, 811.544922 
26675, -28297, 1620, 27436, -28286, 850, 769.601685 
28239, -26648, -1593, 28958, -26638, -2319, 726.411865 
29529, -24742, -4790, 30199, -24732, -5466, 676.692383 
30532, -22595, -7939, 31147, -22586, -8560, 621.943359 
31240, -20228, -11013, 31792, -20220, -11572, 559.072266 
31643, -17666, -13979, 32130, -17659, -14470, 491.893555 
31739, -14931, -16810, 32155, -14925, -17229, 419.257812 
31527, -12052, -19477, 31868, -12047, -19820, 343.378906 
31010, -9056, -21955, 31272, -9052, -22219, 264.146484 
30192, -5972, -24221, 30372, -5970, -24402, 181.226562 
29080, -2831, -26251, 29177, -2829, -26348, 97.466797 
