I_d, I_q, I_d_f, I_q_f, errId, errIq 
-593, -1023, -591.000000, -1023.642029, -2.000000, 0.642029 
-575, -1018, -574.333374, -1017.868530, -0.666626, -0.131470 
-558, -1011, -557.333374, -1011.517700, -0.666626, 0.517700 
-566, -993, -564.615051, -992.134644, -1.384949, -0.865356 
-549, -986, -547.463745, -986.204529, -1.536255, 0.204529 
-555, -967, -553.637085, -966.944214, -1.362915, -0.055786 
-538, -962, -536.344849, -961.438416, -1.655151, -0.561584 
-519, -955, -518.025452, -955.405273, -0.974548, 0.405273 
-526, -938, -523.984375, -937.274536, -2.015625, -0.725464 
-507, -933, -505.521820, -931.694519, -1.478180, -1.305481 
-511, -914, -510.392029, -913.768005, -0.607971, -0.231995 
-494, -909, -492.461060, -908.579041, -1.538940, -0.420959 
-475, -903, -473.866699, -903.455688, -1.133301, 0.455688 
-479, -887, -477.526550, -886.228943, -1.473450, -0.771057 
-461, -882, -459.473206, -881.483276, -1.526794, -0.516724 
-463, -866, -461.812317, -865.172363, -1.187683, -0.827637 
-445, -861, -443.232788, -860.351013, -1.767212, -0.648987 
-426, -857, -424.653259, -855.529663, -1.346741, -1.470337 
-429, -842, -426.909760, -840.445435, -2.090240, -1.554565 
-410, -837, -408.217102, -836.083252, -1.782898, -0.916748 
-411, -822, -409.457703, -821.370972, -1.542297, -0.629028 
-393, -818, -390.663177, -817.470642, -2.336823, -0.529358 
-373, -814, -371.428772, -813.069519, -1.571228, -0.930481 
-374, -801, -372.010986, -799.745728, -1.989014, -1.254272 
-354, -797, -352.673950, -795.819763, -1.326050, -1.180237 
-354, -785, -352.746033, -783.440857, -1.253967, -1.559143 
-334, -781, -332.854065, -779.513916, -1.145935, -1.486084 
-315, -777, -313.426147, -776.065613, -1.573853, -0.934387 
-314, -766, -313.110992, -764.493835, -0.889008, -1.506165 
-294, -762, -293.128296, -761.058228, -0.871704, -0.941772 
-293, -753, -291.728546, -750.662964, -1.271454, -2.337036 
-274, -749, -272.305023, -747.526489, -1.694977, -1.473511 
-254, -746, -252.243774, -744.584167, -1.756226, -1.415833 
-253, -737, -251.016953, -735.486450, -1.983047, -1.513550 
-233, -734, -231.023865, -732.386353, -1.976135, -1.613647 
-230, -726, -228.307129, -724.091064, -1.692871, -1.908936 
-210, -723, -208.752670, -721.915161, -1.247330, -1.084839 
-207, -717, -206.353973, -714.441406, -0.646027, -2.558594 
-187, -714, -186.232468, -712.329956, -0.767532, -1.670044 
-167, -711, -166.110947, -710.218445, -0.889053, -0.781555 
-163, -706, -162.861511, -703.890259, -0.138489, -2.109741 
