V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
17911, 2906, -20818, 17912, 2906, -20818, 0.816406 
2086, 17222, -19310, 2087, 17222, -19309, -0.292969 
25527, 8298, -33826, 25528, 8298, -33826, 0.601562 
19584, 4031, -23617, 19581, 4032, -23614, -2.417969 
23900, 11569, -35471, 23897, 11570, -35467, -3.757812 
9916, 91, -10009, 9913, 91, -10005, -3.623047 
8225, 7780, -16007, 8222, 7778, -16001, -5.389648 
7675, 4252, -11929, 7673, 4251, -11924, -4.279297 
25510, -10316, -15195, 25499, -10310, -15189, -5.691406 
7556, 6439, -13996, 7552, 6436, -13989, -6.630859 
9731, 3631, -13364, 9725, 3631, -13356, -7.844727 
6355, 21469, -27825, 6349, 21459, -27808, -16.103516 
13915, 640, -14556, 13906, 641, -14548, -7.724609 
15649, 9265, -24915, 15636, 9260, -24896, -18.128906 
25318, 8933, -34253, 25297, 8930, -34228, -24.855469 
17838, 313, -18152, 17821, 316, -18137, -14.617188 
-2293, 28217, -25926, -2294, 28195, -25900, -25.025391 
12163, 11060, -23225, 12149, 11054, -23204, -20.478516 
16511, 8000, -24513, 16491, 7997, -24488, -24.216797 
23975, 4329, -28306, 23948, 4331, -28279, -26.912109 
21832, 6551, -28385, 21802, 6551, -28354, -30.707031 
19349, 12937, -32288, 19321, 12930, -32251, -36.076172 
2021, 19026, -21049, 2013, 19008, -21022, -26.669922 
24854, 12113, -36968, 24814, 12109, -36923, -44.574219 
7115, 5187, -12303, 7103, 5184, -12287, -15.458008 
4925, 20116, -25043, 4909, 20093, -25003, -39.623047 
1344, 7219, -8565, 1339, 7211, -8551, -13.771484 
-352, 26858, -26507, -362, 26825, -26462, -44.039062 
-4130, 17233, -13105, -4130, 17209, -13078, -26.497070 
1884, 20497, -22383, 1871, 20472, -22343, -39.828125 
4155, 3767, -7923, 4144, 3764, -7909, -13.353516 
-6645, 30881, -24238, -6650, 30835, -24185, -52.220703 
7183, 16591, -23775, 7158, 16573, -23732, -42.470703 
7778, 797, -8577, 7761, 801, -8563, -13.882812 
15142, 23585, -38729, 15094, 23562, -38656, -72.750000 
659, 14226, -14887, 646, 14205, -14852, -34.231445 
6950, 21076, -28027, 6917, 21050, -27967, -59.378906 
16824, 13823, -30649, 16769, 13817, -30586, -62.115234 
21410, 3894, -25306, 21352, 3909, -25261, -44.052734 
12223, 25168, -37393, 12168, 25140, -37309, -83.402344 
26676, -3480, -23196, 26608, -3445, -23162, -33.064453 
27616, -2314, -25303, 27544, -2280, -25264, -38.318359 
14745, 5118, -19864, 14697, 5126, -19824, -39.824219 
19940, 8970, -28910, 19872, 8978, -28851, -58.787109 
8343, 3954, -12298, 8314, 3957, -12272, -25.991211 
27516, 550, -28068, 27432, 585, -28018, -49.708984 
-6371, 27855, -21487, -6387, 27800, -21412, -74.447266 
6533, 3184, -9719, 6508, 3188, -9696, -22.188477 
16188, 17659, -33847, 16110, 17651, -33762, -84.578125 
5946, 13705, -19652, 5907, 13690, -19597, -54.548828 
4996, 22010, -27008, 4945, 21980, -26925, -82.201172 
23978, 4304, -28284, 23891, 4335, -28227, -56.914062 
8345, 433, -8779, 8315, 447, -8762, -16.403320 
3476, 32674, -36153, 3408, 32623, -36031, -121.585938 
8012, 17758, -25773, 7954, 17741, -25695, -77.324219 
-4823, 29346, -24525, -4859, 29285, -24426, -98.843750 
4536, 18049, -22586, 4486, 18026, -22512, -73.718750 
5247, 26434, -31682, 5173, 26399, -31572, -109.085938 
22770, 1124, -23895, 22682, 1168, -23850, -44.609375 
14923, 15289, -30213, 14836, 15293, -30129, -83.560547 
2306, 3644, -5951, 2289, 3642, -5932, -18.369141 
6159, 4175, -10336, 6126, 4182, -10308, -27.590820 
277, 1002, -1281, 274, 1001, -1276, -4.636475 
7915, 7573, -15489, 7865, 7579, -15444, -44.399414 
-1439, 6301, -4864, -1447, 6287, -4840, -23.475586 
-5227, 32341, -27115, -5285, 32273, -26988, -126.720703 
-7670, 22965, -15297, -7694, 22907, -15212, -84.035156 
-477, 30425, -29950, -555, 30375, -29819, -130.855469 
12113, 24075, -36190, 11996, 24069, -36066, -123.656250 
-8432, 30022, -21591, -8480, 29952, -21471, -119.048828 
13894, 16076, -29971, 13786, 16091, -29878, -92.816406 
